Frame,X,Y,Visibility,L,Theta
0,1389,440,1,15.523464798927307,-14.383124942747855
1,1460,424,1,14.217774175107479,-11.429496561710128
2,1543,409,1,16.348269693553448,-8.866652968675506
3,1607,398,1,15.766848310828209,-8.012323746079575
4,1673,398,1,2.2004323601722717,73.67767993189113
5,1579,375,1,14.910652302205563,11.975015880415102
6,1517,363,1,13.56540560722351,12.929375779299594
7,1446,349,1,16.19216128438711,9.774932239225048
8,1371,339,1,12.65436565876007,7.54188637527842
9,1319,333,1,13.148925960063934,7.329259219142245
10,1259,328,1,14.617810979485512,4.89781203758083
11,1198,325,1,13.536845654249191,3.976470088057499
12,1127,323,1,13.508258168585598,1.424467045964839
13,1069,324,1,13.514988526701927,-0.9695207408448506
14,1020,326,1,13.00751804932952,-3.230867480028691
15,956,331,1,13.489198580384254,-5.24373364956162
16,903,336,1,12.589525770395994,-7.125375998885732
17,850,344,1,12.82653158903122,-9.6846335729329
18,805,351,1,11.35657213628292,-10.152721793974923
19,755,361,1,11.280362717807293,-12.507396114171984
20,703,374,1,12.016698941588402,-15.427849566458708
21,658,386,1,10.919228106737137,-16.695948311054664
22,615,384,1,9.484698235988617,19.65052086202261
23,582,372,1,9.846357583999634,22.67132291247722
24,546,359,1,10.119818806648254,21.915856250295924
25,506,345,1,9.013872802257538,19.502023479679416
26,473,334,1,9.480881452560425,16.405298479541024
27,438,325,1,9.62440311908722,16.570126135356833
28,406,317,1,8.844424605369568,12.98922134897016
29,371,311,1,8.631099455058575,10.434186342111897
30,341,307,1,7.196780294179916,7.2681065223570265
31,311,303,1,7.070726290345192,7.566646501760394
32,278,299,1,7.50205550971441,0.2431774928546686
33,248,298,1,7.5132997911423445,2.1038361950251763
34,221,298,1,7.014518465846777,2.3242228876671907
35,195,298,1,6.5096499705687165,-1.296686424379767
36,170,298,1,5.499656438827515,-0.6403949102044955
37,256,291,1,16.558922035619617,-3.293349059276851
38,340,283,1,18.060392629355192,-3.911162331204216
39,410,280,1,17.525047801434994,-2.1254186351472795
40,494,279,1,17.002918128622696,-0.37631247996020367
41,621,281,1,14.094397582113743,3.4210797457498856
42,705,286,1,17.06603280827403,5.118708582789756
43,756,290,1,15.619823455810547,5.443206637707345
44,837,299,1,16.686809733510017,7.844707344186727
45,933,315,1,14.797348633408546,9.610715683257183
46,1020,331,1,17.069548934698105,11.690799337729821
47,1085,345,1,17.707853063941002,14.263948110213171
48,1157,363,1,17.378876194357872,16.164698521937044
49,1234,385,1,16.603597044944763,18.556455215846608
50,1312,410,1,15.033110946416855,19.52165058224297
51,1366,427,1,13.827763751149178,13.387310835204698
52,1445,423,1,14.21856901049614,-11.280457987606635
